plan_id,county_id
77969OR5280030,41037
10091OR0750005-06,41031
71287OR0420011,41051
56707OR1360004-05,41005
63474OR0600010-04,41027
77969OR5280021-05,41047
63474OR0600010-04,41011
39424OR1620051,41053
56707OR1400003,41007
10091OR0750005,41017
39424OR1600002-05,41065
56707OR1360004-04,41055
10091OR0750004-04,41055
56707OR1360004-04,41035
77969OR5280021-06,41017
39424OR1610003,41033
77969OR5280014,41033
63474OR0600010-06,41001
39424OR1620002-05,41029
39424OR1620002-04,41005
56707OR1360004-06,41009
77969OR5280021,41037
10091OR0750017,41005
10091OR0750002,41019
39424OR1600002-06,41029
71287OR0420003-06,41027
10091OR0750020,41013
71287OR0420003-06,41009
56707OR1400003,41071
10091OR0750016,41013
10091OR0750015,41031
77969OR5280023,41031
39424OR1620077-05,41053
10091OR0750020,41067
77969OR5280030,41029
77969OR5280021,41009
71287OR0420004,41009
39424OR1620074,41031
39424OR1610005,41021
77969OR5280021-04,41041
10091OR0750015,41001
39424OR1620053,41063
39424OR1610004,41037
56707OR1330004-06,41007
39424OR1620004,41009
39424OR1610005-05,41061
56707OR1360004-06,41057
10091OR0750005-05,41021
77969OR5290002,41049
77969OR5280010,41023
63474OR0600007,41011
39424OR1620069-05,41039
71287OR0420012-04,41053
10091OR0750012,41013
10091OR0750005,41037
77969OR5290001-06,41029
10091OR0750019,41005
77969OR5290008,41009
10091OR0750004-04,41063
39424OR1620076-06,41011
39424OR1620064,41011
39424OR1620003,41033
63474OR0600010,41051
77969OR5290001,41019
71287OR0420011-06,41053
10091OR0750004-06,41061
56707OR1350004,41041
77969OR5290001-05,41045
10091OR0760003,41049
77969OR5280014-04,41023
77969OR5280014-05,41053
39424OR1620053-05,41037
39424OR1620052,41049
56707OR1360004-04,41037
10091OR0750005-04,41045
56707OR1360004-05,41069
56707OR1360004-05,41003
77969OR5280012,41027
10091OR0750002,41047
77969OR5280021-05,41035
10091OR0750012,41055
77969OR5280030,41047
10091OR0750004,41033
77969OR5280014-06,41021
39424OR1620076-05,41067
77969OR5290002,41027
10091OR0750003,41015
56707OR1380008,41005
63474OR0600010,41003
39424OR1620068,41001
77969OR5280012,41041
39424OR1610002-05,41065
39424OR1620053,41055
39424OR1620076-05,41065
77969OR5290001-05,41053
63474OR0600010,41045
77969OR5280014,41051
10091OR0760003,41033
77969OR5290001-05,41027
77969OR5280010,41015
10091OR0750018,41063
71287OR0420011-06,41027
39424OR1620070,41019
10091OR0750004-06,41067
10091OR0750004-06,41063
10091OR0750005,41069
71287OR0420022,41005
10091OR0750004,41019
71287OR0420005,41039
39424OR1620003,41011
10091OR0750004,41013
63474OR0600010-05,41047
77969OR5290008,41051
77969OR5280015-04,41051
39424OR1620063,41057
10091OR0750005-06,41051
39424OR1610006,41063
77969OR5290001-04,41027
56707OR1330004,41051
10091OR0750013-05,41019
10091OR0760004,41043
77969OR5280014-06,41009
71287OR0420002,41005
63474OR0600009,41055
10091OR0750003,41019
63474OR0600010-04,41065
10091OR0750005-05,41011
39424OR1620052,41047
10091OR0750004-04,41047
10091OR0750013-04,41019
39424OR1620063,41051
39424OR1600001,41027
39424OR1620001,41007
39424OR1610005-05,41035
77969OR5280021-04,41009
39424OR1610002-06,41057
10091OR0750005-06,41011
77969OR5280021-06,41059
39424OR1610001,41015
63474OR0600007,41009
39424OR1620076-06,41033
56707OR1400003,41051
10091OR0750016,41067
10091OR0750013-06,41059
77969OR5280021,41071
77969OR5280012,41067
10091OR0750013-05,41013
63474OR0600010-06,41057
71287OR0420018,41071
39424OR1620050,41071
39424OR1620068,41047
39424OR1620069-05,41061
56707OR1350004,41015
63474OR0600010-06,41031
63474OR0600007,41033
56707OR1330004-06,41005
39424OR1620054,41025
71287OR0420012-05,41047
77969OR5290008-05,41009
77969OR5290001-04,41021
39424OR1610005,41017
10091OR0750016,41011
39424OR1620069-04,41025
10091OR0750018,41021
77969OR5280028,41071
10091OR0750005-06,41005
39424OR1620004,41007
10091OR0750013-05,41023
10091OR0750005-04,41037
39424OR1620051,41001
10091OR0750004-06,41003
56707OR1360004-06,41065
10091OR0750004-04,41011
39424OR1620002,41005
77969OR5280010,41025
77969OR5280014,41001
77969OR5290001-04,41051
71287OR0420022,41027
56707OR1380009-05,41005
10091OR0750020,41007
10091OR0760003,41057
71287OR0420012-05,41067
10091OR0750004-04,41039
56707OR1410003,41013
39424OR1620068,41031
63474OR0600010-06,41015
39424OR1620062,41065
39424OR1620053,41035
77969OR5290001,41071
10091OR0750004,41015
39424OR1610002-06,41015
77969OR5280015,41009
77969OR5290001-04,41053
71287OR0420012-04,41027
39424OR1610006,41023
10091OR0750014,41049
10091OR0750019,41047
77969OR5280012,41071
77969OR5290008-05,41047
39424OR1620070,41055
39424OR1620001,41067
71287OR0420022-05,41043
71287OR0420011-06,41067
39424OR1610005-04,41039
77969OR5280014-04,41067
10091OR0750015,41061
39424OR1620002-04,41015
39424OR1600002-04,41009
71287OR0420012-05,41043
63474OR0600007,41051
77969OR5280014-05,41033
10091OR0760001,41033
39424OR1620053,41059
10091OR0750019,41025
77969OR5280003,41053
10091OR0750013-06,41071
10091OR0750004-04,41031
56707OR1410003,41061
77969OR5280014-06,41035
39424OR1620064,41027
10091OR0760004,41011
39424OR1610005-04,41023
39424OR1610005-06,41063
10091OR0750003,41043
39424OR1620002-05,41005
77969OR5280022-06,41067
77969OR5290001-05,41069
39424OR1620052,41063
39424OR1620068,41061
39424OR1600002-04,41027
56707OR1410003,41027
63474OR0600010-06,41049
77969OR5280015-04,41047
56707OR1400003,41043
77969OR5280014,41057
10091OR0760005,41013
71287OR0420022-04,41053
